transcription,file_name
THE BIRCH CANOE SLID ON THE SMOOTH PLANKS,data/indian/speaker_02/indian_s02_001.wav
GLUE THE SHEET TO THE DARK BLUE BACKGROUND,data/indian/speaker_02/indian_s02_002.wav
IT'S EASY TO TELL THE DEPTH OF A WELL,data/indian/speaker_02/indian_s02_003.wav
THESE DAYS A CHICKEN LEG IS A RARE DISH,data/indian/speaker_02/indian_s02_004.wav
RICE IS OFTEN SERVED IN ROUND BOWLS,data/indian/speaker_02/indian_s02_005.wav
THE JUICE OF LEMONS MAKES FINE PUNCH,data/indian/speaker_02/indian_s02_006.wav
THE BOX WAS THROWN BESIDE THE PARKED TRUCK,data/indian/speaker_02/indian_s02_007.wav
THE HOGS WERE FED CHOPPED CORN AND GARBAGE,data/indian/speaker_02/indian_s02_008.wav
FOUR HOURS OF STEADY WORK FACED US,data/indian/speaker_02/indian_s02_009.wav
A LARGE SIZE AND STOCKINGS IS HARD TO SELL,data/indian/speaker_02/indian_s02_010.wav
THE BOY WAS THERE WHEN THE SUN ROSE,data/indian/speaker_02/indian_s02_011.wav
A ROD IS USED TO CATCH PINK SALMON,data/indian/speaker_02/indian_s02_012.wav
THE SOURCE OF THE HUGE RIVER IS THE CLEAR SPRING,data/indian/speaker_02/indian_s02_013.wav
KICK THE BALL STRAIGHT AND FOLLOW THROUGH,data/indian/speaker_02/indian_s02_014.wav
HELP THE WOMAN GET BACK TO HER FEET,data/indian/speaker_02/indian_s02_015.wav
A POT OF TEA HELPS TO PASS THE EVENING,data/indian/speaker_02/indian_s02_016.wav
SMOKY FIRES LACK FLAME AND HEAT,data/indian/speaker_02/indian_s02_017.wav
THE SOFT CUSHION BROKE THE MAN'S FALL,data/indian/speaker_02/indian_s02_018.wav
THE SALT BREEZE CAME ACROSS FROM THE SEA,data/indian/speaker_02/indian_s02_019.wav
THE GIRL AT THE BOOTH SOLD FIFTY BONDS,data/indian/speaker_02/indian_s02_020.wav
THE SMALL PUP GNAWED A HOLE IN THE SACK,data/indian/speaker_02/indian_s02_021.wav
THE FISH TWISTED AND TURNED ON THE BENT HOOK,data/indian/speaker_02/indian_s02_022.wav
PRESS THE PANTS AND SEW BUTTON ON THE VEST,data/indian/speaker_02/indian_s02_023.wav
THE SWAN DIVE WAS FAR SHORT OF PERFECT,data/indian/speaker_02/indian_s02_024.wav
THE BEAUTY OF THE VIEW STUNED THE YOUNG BOY,data/indian/speaker_02/indian_s02_025.wav
TWO BLUE FISH SWAM IN THE TANK,data/indian/speaker_02/indian_s02_026.wav
HER PURSE WAS FULL OF USELESS TRASH,data/indian/speaker_02/indian_s02_027.wav
THE COLT REARED AND THREW THE TALL RIDER,data/indian/speaker_02/indian_s02_028.wav
IT SNOWED,data/indian/speaker_02/indian_s02_029.wav
RAINED,data/indian/speaker_02/indian_s02_030.wav
AND HAILED THE SAME MORNING,data/indian/speaker_02/indian_s02_031.wav
READ VERSE OUT LOUD FOR PLEASURE,data/indian/speaker_02/indian_s02_032.wav
HOIST THE LOAD TO YOUR LEFT SHOULDER,data/indian/speaker_02/indian_s02_033.wav
TAKE THE WINDING PATH TO REACH THE LAKE,data/indian/speaker_02/indian_s02_034.wav
NOTE CLOSELY THE SIZE OF THE GAS TANK,data/indian/speaker_02/indian_s02_035.wav
WIPE THE GREASE OFF HIS DIRTY FACE,data/indian/speaker_02/indian_s02_036.wav
MEND THE COAT BEFORE YOU GO OUT,data/indian/speaker_02/indian_s02_037.wav
THE WRIST WAS BADLY STRAINED AND HUNG LIMP,data/indian/speaker_02/indian_s02_038.wav
THE STRAY CAT GAVE BIRTH TO KITTENS,data/indian/speaker_02/indian_s02_039.wav
THE YOUNG GIRL GAVE NO CLEAR RESPONSE,data/indian/speaker_02/indian_s02_040.wav
THE MEAL WAS COOKED BEFORE THE BELL RANG,data/indian/speaker_02/indian_s02_041.wav
WHAT JOY THERE IS IN LIVING,data/indian/speaker_02/indian_s02_042.wav
A KING RULED THE STATE IN THE EARLY DAYS,data/indian/speaker_02/indian_s02_043.wav
THE SHIP WAS TORN APART ON THE SHARP REEF,data/indian/speaker_02/indian_s02_044.wav
SICKNESS KEPT HIM HOME THE THIRD WEEK,data/indian/speaker_02/indian_s02_045.wav
THE WIDE ROAD SHIMMERED IN THE HOT SUN,data/indian/speaker_02/indian_s02_046.wav
THE LAZY COW LAY IN THE COOL GRASS,data/indian/speaker_02/indian_s02_047.wav
LIFT THE SQUARE STONE OVER THE FENCE,data/indian/speaker_02/indian_s02_048.wav
THE ROPE WILL BIND THE SEVEN BOOKS AT ONCE,data/indian/speaker_02/indian_s02_049.wav
HOP OVER THE FENCE AND PLUNGE IN,data/indian/speaker_02/indian_s02_050.wav
THE FRIENDLY GANG LEFT THE DRUG STORE,data/indian/speaker_02/indian_s02_051.wav
MESH WIRE KEEPS CHICKS INSIDE,data/indian/speaker_02/indian_s02_052.wav
THE FROSTY AIR PASSED THROUGH THE COAT,data/indian/speaker_02/indian_s02_053.wav
THE CROOKED MAZE FAILED TO FOOL THE MOUSE,data/indian/speaker_02/indian_s02_054.wav
